147.102.13.0 net.netmode.ece.ntua.gr.
147.102.13.1 averel.netmode.ece.ntua.gr.
147.102.13.2 vento.netmode.ece.ntua.gr.
147.102.13.3 black.netmode.ece.ntua.gr.
147.102.13.4 bender.netmode.ece.ntua.gr.
147.102.13.5 camera.netmode.ece.ntua.gr.
147.102.13.6 bofh.netmode.ece.ntua.gr.
147.102.13.7 potis.netmode.ece.ntua.gr.
147.102.13.8 zizou.netmode.ece.ntua.gr.
147.102.13.9 briki.netmode.ece.ntua.gr.
147.102.13.10 dolly.netmode.ece.ntua.gr.
147.102.13.11 eleni.netmode.ece.ntua.gr.
147.102.13.12 argugrid.netmode.ece.ntua.gr.
147.102.13.13 tv.netmode.ece.ntua.gr.
147.102.13.14 sofo.netmode.ece.ntua.gr.
147.102.13.15 frog.netmode.ece.ntua.gr.
147.102.13.16 mitsos.netmode.ece.ntua.gr.
147.102.13.17 backup.netmode.ece.ntua.gr.
147.102.13.18 mindport.netmode.ece.ntua.gr.
147.102.13.19 maria.netmode.ece.ntua.gr.
147.102.13.20 blondie.netmode.ece.ntua.gr.
147.102.13.21 sensor.netmode.ece.ntua.gr.
147.102.13.22 argugrid-rv.netmode.ece.ntua.gr.
147.102.13.23 stranger.netmode.ece.ntua.gr.
147.102.13.24 vcr.netmode.ece.ntua.gr.
147.102.13.25 feta.netmode.ece.ntua.gr.
147.102.13.26 sheep.netmode.ece.ntua.gr.
147.102.13.27 rookie.netmode.ece.ntua.gr.
147.102.13.28 cretino.netmode.ece.ntua.gr.
147.102.13.29 mafioso.netmode.ece.ntua.gr.
147.102.13.30 cornuto.netmode.ece.ntua.gr.
147.102.13.31 redicolo.netmode.ece.ntua.gr.
147.102.13.32 pc-maglaris.netmode.ece.ntua.gr.
147.102.13.33 bot.netmode.ece.ntua.gr.
147.102.13.34 spiuno.netmode.ece.ntua.gr.
147.102.13.35 coffee.netmode.ece.ntua.gr.
147.102.13.36 kalfas.netmode.ece.ntua.gr.
147.102.13.37 niobe.netmode.ece.ntua.gr.
147.102.13.38 picolo.netmode.ece.ntua.gr.
147.102.13.39 yankee.netmode.ece.ntua.gr.
147.102.13.40 lexmark.netmode.ece.ntua.gr.
147.102.13.41 grid1.netmode.ece.ntua.gr.
147.102.13.42 grid2.netmode.ece.ntua.gr.
147.102.13.43 grid3.netmode.ece.ntua.gr.
147.102.13.44 grid4.netmode.ece.ntua.gr.
147.102.13.45 grid5.netmode.ece.ntua.gr.
147.102.13.46 grid6.netmode.ece.ntua.gr.
147.102.13.47 vm-office.netmode.ece.ntua.gr.
147.102.13.48 yiannos-netmode.netmode.ece.ntua.gr.
147.102.13.49 dimitra.netmode.ece.ntua.gr.
147.102.13.50 bagioris.netmode.ece.ntua.gr.
147.102.13.51 sandra.netmode.ece.ntua.gr.
147.102.13.52 pap.netmode.ece.ntua.gr.
147.102.13.53 No PTR record found
147.102.13.54 ups0.netmode.ece.ntua.gr.
147.102.13.55 imeros.netmode.ece.ntua.gr.
147.102.13.56 globus1.netmode.ece.ntua.gr.
147.102.13.57 yoda.netmode.ece.ntua.gr.
147.102.13.58 platon.netmode.ece.ntua.gr.
147.102.13.59 darthvader.netmode.ece.ntua.gr.
147.102.13.60 matrix.netmode.ece.ntua.gr.
147.102.13.61 dhcp-61.netmode.ece.ntua.gr.
147.102.13.62 dhcp-62.netmode.ece.ntua.gr.
147.102.13.63 dhcp-63.netmode.ece.ntua.gr.
147.102.13.64 dhcp-64.netmode.ece.ntua.gr.
147.102.13.65 dhcp-65.netmode.ece.ntua.gr.
147.102.13.66 dhcp-66.netmode.ece.ntua.gr.
147.102.13.67 dhcp-67.netmode.ece.ntua.gr.
147.102.13.68 dhcp-68.netmode.ece.ntua.gr.
147.102.13.69 dhcp-69.netmode.ece.ntua.gr.
147.102.13.70 dhcp-70.netmode.ece.ntua.gr.
147.102.13.71 dhcp-71.netmode.ece.ntua.gr.
147.102.13.72 dhcp-72.netmode.ece.ntua.gr.
147.102.13.73 dhcp-73.netmode.ece.ntua.gr.
147.102.13.74 dhcp-74.netmode.ece.ntua.gr.
147.102.13.75 dhcp-75.netmode.ece.ntua.gr.
147.102.13.76 dhcp-76.netmode.ece.ntua.gr.
147.102.13.77 dhcp-77.netmode.ece.ntua.gr.
147.102.13.78 dhcp-78.netmode.ece.ntua.gr.
147.102.13.79 dhcp-79.netmode.ece.ntua.gr.
147.102.13.80 marvin.netmode.ece.ntua.gr.
147.102.13.81 eestec.netmode.ece.ntua.gr.
147.102.13.82 spiderman.netmode.ece.ntua.gr.
147.102.13.83 wraith.netmode.ece.ntua.gr.
147.102.13.84 maglaris-dell.netmode.ece.ntua.gr.
147.102.13.85 dragon.netmode.ece.ntua.gr.
147.102.13.86 maglaris-dell2.netmode.ece.ntua.gr.
147.102.13.87 macbook.netmode.ece.ntua.gr.
147.102.13.88 donkey.netmode.ece.ntua.gr.
147.102.13.89 bob.netmode.ece.ntua.gr.
147.102.13.90 vc.netmode.ece.ntua.gr.
147.102.13.91 No PTR record found
147.102.13.92 elena.netmode.ece.ntua.gr.
147.102.13.93 netmd-laptop.netmode.ece.ntua.gr.
147.102.13.94 vnews2.netmode.ece.ntua.gr.
147.102.13.95 of-ctrl.netmode.ece.ntua.gr.
147.102.13.96 barman.netmode.ece.ntua.gr.
147.102.13.97 No PTR record found
147.102.13.98 sayan.netmode.ece.ntua.gr.
147.102.13.99 aiolos.netmode.ece.ntua.gr.
147.102.13.100 donald.netmode.ece.ntua.gr.
147.102.13.101 goofy.netmode.ece.ntua.gr.
147.102.13.102 vm-laser.netmode.ece.ntua.gr.
147.102.13.103 dell5330.netmode.ece.ntua.gr.
147.102.13.104 No PTR record found
147.102.13.105 No PTR record found
147.102.13.106 mainalo.netmode.ece.ntua.gr.
147.102.13.107 vega.netmode.ece.ntua.gr.
147.102.13.108 hermes.netmode.ece.ntua.gr.
147.102.13.109 No PTR record found
147.102.13.110 No PTR record found
147.102.13.111 ithaki.netmode.ece.ntua.gr.
147.102.13.112 eetsirop.netmode.ece.ntua.gr.
147.102.13.113 pc-maglaris-lab.netmode.ece.ntua.gr.
147.102.13.114 egee.netmode.ece.ntua.gr.
147.102.13.115 bigshow.netmode.ece.ntua.gr.
147.102.13.116 ava.netmode.ece.ntua.gr.
147.102.13.117 mule.netmode.ece.ntua.gr.
147.102.13.118 ubumon.netmode.ece.ntua.gr.
147.102.13.119 matlab.netmode.ece.ntua.gr.
147.102.13.120 thing.netmode.ece.ntua.gr.
